Rank;Country/Territory;Capital;Continent; Population_2024 ; Population_2022 ; Population_2020 ; Population_2015 ; Population_2010 ; Population_2000 ; Area (km²) ; Density (per km²) ; Growth_Rate ; Growth_Absolute ;Growth_Percent; Population World
84;Dominican Republic;Santo Domingo;North America; 11.427.557 ; 11.228.821 ; 10.999.664 ; 10.405.832 ; 9.775.755 ; 8.540.791 ; 48.671 ; 2.307.087 ; 101 ; 2.886.766 ;34%; 14
10;Mexico;Mexico City;North America; 130.861.007 ; 127.504.125 ; 125.998.302 ; 120.149.897 ; 112.532.401 ; 97.873.442 ; 1.964.375 ; 649.082 ; 10.063 ; 32.987.565 ;34%; 16
40;Morocco;Rabat;Africa; 38.081.173 ; 37.457.971 ; 36.688.772 ; 34.680.458 ; 32.464.865 ; 28.554.415 ; 446.550 ; 83.883 ; 10.103 ; 9.526.758 ;33%; 47
4;Indonesia;Jakarta;Asia; 283.487.931 ; 275.501.339 ; 271.857.970 ; 259.091.970 ; 244.016.173 ; 214.072.421 ; 1.904.569 ; 1.446.529 ; 10.064 ; 69.415.510 ;32%; 345
39;Canada;Ottawa;North America; 39.742.430 ; 38.454.327 ; 37.888.705 ; 35.732.126 ; 33.963.412 ; 30.683.313 ; 9.984.670 ; 38.513 ; 10.078 ; 9.059.117 ;30%; 48
124;Costa Rica;San José;North America; 5.129.910 ; 5.180.829 ; 5.123.105 ; 4.895.242 ; 4.622.252 ; 3.979.193 ; 51.100 ; 1.013.861 ; 10.052 ; 1.150.717 ;29%; 6
65;Chile;Santiago;South America; 19.764.771 ; 19.603.733 ; 19.300.315 ; 17.870.124 ; 17.004.162 ; 15.351.799 ; 756.102 ; 259.274 ; 10.057 ; 4.412.972 ;29%; 25
44;Peru;Lima;South America; 34.217.848 ; 34.049.588 ; 33.304.756 ; 30.711.863 ; 29.229.572 ; 26.654.439 ; 1.285.216 ; 264.933 ; 10.099 ; 7.563.409 ;28%; 43
16;Vietnam;Hanoi;Asia; 100.987.686 ; 98.186.856 ; 96.648.685 ; 92.191.398 ; 87.411.012 ; 79.001.142 ; 331.212 ; 2.964.472 ; 10.074 ; 21.986.544 ;28%; 123
91;Azerbaijan;Baku;Asia; 10.336.577 ; 10.358.074 ; 10.284.951 ; 9.863.480 ; 9.237.202 ; 8.190.337 ; 86.600 ; 1.196.082 ; 10.044 ; 2.146.240 ;26%; 13
101;Switzerland;Bern;Europe; 8.921.981 ; 8.740.472 ; 8.638.613 ; 8.281.732 ; 7.822.435 ; 7.182.059 ; 41.284 ; 2.117.157 ; 10.056 ; 1.739.922 ;24%; 11
120;Norway;Oslo;Europe; 5.576.660 ; 5.434.319 ; 5.379.839 ; 5.190.356 ; 4.889.741 ; 4.491.202 ; 323.802 ; 167.828 ; 10.058 ; 1.085.458 ;24%; 7
79;Tunisia;Tunis;Africa; 12.277.109 ; 12.356.117 ; 12.161.723 ; 11.557.779 ; 10.895.063 ; 9.893.316 ; 163.610 ; 755.218 ; 10.076 ; 2.383.793 ;24%; 15
33;Argentina;Buenos Aires;South America; 45.696.159 ; 45.510.318 ; 45.036.032 ; 43.257.065 ; 41.100.123 ; 37.070.774 ; 2.780.400 ; 163.683 ; 10.052 ; 8.625.385 ;23%; 57
61;Sri Lanka;Colombo;Asia; 23.103.565 ; 21.832.143 ; 21.715.079 ; 21.336.697 ; 20.668.557 ; 18.776.371 ; 65.610 ; 3.327.563 ; 10.027 ; 4.327.194 ;23%; 27
3;United States;Washington, D.C.;North America; 345.426.571 ; 338.289.857 ; 335.942.003 ; 324.607.776 ; 311.182.845 ; 282.398.554 ; 9.372.610 ; 360.935 ; 10.038 ; 63.028.017 ;22%; 424
49;Nepal;Kathmandu;Asia; 29.651.054 ; 30.547.580 ; 29.348.627 ; 27.610.325 ; 27.161.567 ; 24.559.500 ; 147.181 ; 2.075.511 ; 10.171 ; 5.091.554 ;21%; 38
159;Eswatini;Mbabane;Africa; 1.242.822 ; 1.201.670 ; 1.180.655 ; 1.133.936 ; 1.099.920 ; 1.030.496 ; 17.364 ; 692.047 ; 10.079 ; 212.326 ;21%; 2
7;Brazil;Brasilia;South America; 211.998.573 ; 215.313.498 ; 213.196.304 ; 205.188.205 ; 196.353.492 ; 175.873.720 ; 8.515.767 ; 252.841 ; 10.046 ; 36.124.853 ;21%; 27
26;Myanmar;Nay Pyi Taw;Asia; 54.500.091 ; 54.179.306 ; 53.423.198 ; 51.483.949 ; 49.390.988 ; 45.538.332 ; 676.578 ; 800.784 ; 10.071 ; 8.961.759 ;20%; 68
87;Sweden;Stockholm;Europe; 10.606.999 ; 10.549.347 ; 10.368.969 ; 9.849.349 ; 9.381.729 ; 8.871.043 ; 450.295 ; 234.276 ; 10.079 ; 1.735.956 ;20%; 13
30;Spain;Madrid;Europe; 47.910.526 ; 47.558.630 ; 47.363.807 ; 46.431.342 ; 46.572.772 ; 40.741.651 ; 505.992 ; 939.909 ; 10.015 ; 7.168.875 ;18%; 6
21;United Kingdom;London;Europe; 69.138.192 ; 67.508.936 ; 67.059.474 ; 65.224.364 ; 62.760.039 ; 58.850.043 ; 242.900 ; 2.779.289 ; 10.034 ; 10.288.149 ;17%; 85
147;Lesotho;Maseru;Africa; 2.337.423 ; 2.305.825 ; 2.254.100 ; 2.118.521 ; 2.022.747 ; 1.998.630 ; 30.355 ; 75.962 ; 10.107 ; 338.793 ;17%; 3
51;Venezuela;Caracas;South America; 28.405.543 ; 28.301.696 ; 28.490.453 ; 30.529.716 ; 28.715.022 ; 24.427.729 ; 916.445 ; 30.882 ; 10.036 ; 3.977.814 ;16%; 35
71;Netherlands;Amsterdam;Europe; 18.228.742 ; 17.564.014 ; 17.434.557 ; 17.041.107 ; 16.617.116 ; 15.899.135 ; 41.850 ; 4.196.897 ; 10.036 ; 2.329.607 ;15%; 22
81;Belgium;Brussels;Europe; 11.738.763 ; 11.655.930 ; 11.561.717 ; 11.248.303 ; 10.877.947 ; 10.264.343 ; 30.528 ; 3.818.111 ; 10.038 ; 1.474.420 ;14%; 15
99;Austria;Vienna;Europe; 9.120.813 ; 8.939.617 ; 8.907.777 ; 8.642.421 ; 8.362.829 ; 8.010.428 ; 83.871 ; 1.065.877 ; 1.002 ; 1.110.385 ;14%; 11
20;Thailand;Bangkok;Asia; 71.668.011 ; 71.697.030 ; 71.475.664 ; 70.294.397 ; 68.270.489 ; 63.066.603 ; 513.120 ; 1.397.276 ; 10.013 ; 8.601.408 ;14%; 9
23;France;Paris;Europe; 66.548.530 ; 64.626.628 ; 64.480.053 ; 63.809.769 ; 62.444.567 ; 58.665.453 ; 551.695 ; 1.171.419 ; 10.015 ; 7.883.077 ;13%; 81
56;North Korea;Pyongyang;Asia; 26.498.823 ; 26.069.416 ; 25.867.467 ; 25.258.015 ; 24.686.435 ; 23.367.059 ; 120.538 ; 2.162.755 ; 10.038 ; 3.131.764 ;13%; 33
153;Trinidad and Tobago;Port-of-Spain;North America; 1.507.782 ; 1.531.044 ; 1.518.147 ; 1.460.177 ; 1.410.296 ; 1.332.203 ; 5.130 ; 2.984.491 ; 10.035 ; 175.579 ;13%; 2
1;China;Beijing;Asia; 1.419.321.278 ; 1.425.887.337 ; 1.424.929.781 ; 1.393.715.448 ; 1.348.191.368 ; 1.264.099.069 ; 9.706.961 ; 1.468.933 ; 1 ; 155.222.209 ;12%; 1.788
115;Denmark;Copenhagen;Europe; 5.977.412 ; 5.882.261 ; 5.825.641 ; 5.677.796 ; 5.550.849 ; 5.340.655 ; 43.094 ; 1.364.984 ; 10.048 ; 636.757 ;12%; 7
29;South Korea;Seoul;Asia; 51.717.590 ; 51.815.810 ; 51.844.690 ; 50.994.401 ; 48.813.042 ; 46.788.591 ; 100.210 ; 5.170.722 ; 9.997 ; 4.928.999 ;11%; 65
104;Hong Kong;Hong Kong;Asia; 7.414.909 ; 7.488.865 ; 7.500.958 ; 7.399.838 ; 7.132.438 ; 6.731.195 ; 1.104 ; 67.833.922 ; 9.992 ; 683.714 ;10%; 9
139;Jamaica;Kingston;North America; 2.839.175 ; 2.827.377 ; 2.820.436 ; 2.794.445 ; 2.733.896 ; 2.612.205 ; 10.991 ; 2.572.447 ; 9.999 ; 226.970 ;9%; 4
118;Finland;Helsinki;Europe; 5.617.310 ; 5.540.745 ; 5.529.468 ; 5.479.461 ; 5.363.271 ; 5.176.209 ; 338.424 ; 163.722 ; 10.009 ; 441.101 ;9%; 7
148;Slovenia;Ljubljana;Europe; 2.118.697 ; 2.119.844 ; 2.117.641 ; 2.080.862 ; 2.057.286 ; 1.984.339 ; 20.273 ; 1.045.649 ; 10.002 ; 134.358 ;7%; 3
112;El Salvador;San Salvador;North America; 6.338.193 ; 6.336.392 ; 6.292.731 ; 6.231.066 ; 6.114.034 ; 5.958.482 ; 21.041 ; 301.145 ; 10.035 ; 379.711 ;6%; 8
57;Taiwan;Taipei;Asia; 23.213.962 ; 23.893.394 ; 23.821.464 ; 23.512.136 ; 23.083.083 ; 22.194.731 ; 36.193 ; 6.601.662 ; 10.014 ; 1.019.231 ;5%; 3
157;Mauritius;Port Louis;Africa; 1.271.169 ; 1.299.469 ; 1.297.828 ; 1.293.153 ; 1.283.330 ; 1.215.930 ; 2.040 ; 6.369.946 ; 10.004 ; 55.239 ;5%; 2
25;Italy;Rome;Europe; 59.342.867 ; 59.037.474 ; 59.500.579 ; 60.232.906 ; 59.822.450 ; 56.966.397 ; 301.336 ; 1.959.191 ; 9.966 ; 2.376.470 ;4%; 74
19;Germany;Berlin;Europe; 84.552.242 ; 83.369.843 ; 83.328.988 ; 82.073.226 ; 81.325.090 ; 81.551.677 ; 357.114 ; 2.334.544 ; 9.995 ; 3.000.565 ;4%; 105
133;Uruguay;Montevideo;South America; 3.386.588 ; 3.422.794 ; 3.429.086 ; 3.402.818 ; 3.352.651 ; 3.292.224 ; 181.034 ; 189.069 ; 999 ; 94.364 ;3%; 4
116;Slovakia;Bratislava;Europe; 5.506.760 ; 5.643.453 ; 5.456.681 ; 5.424.444 ; 5.396.424 ; 5.376.690 ; 49.037 ; 1.150.856 ; 10.359 ; 130.070 ;2%; 7
92;Portugal;Lisbon;Europe; 10.425.292 ; 10.270.865 ; 10.298.192 ; 10.365.435 ; 10.588.401 ; 10.300.626 ; 92.090 ; 1.115.307 ; 9.981 ; 124.666 ;1%; 13
37;Poland;Warsaw;Europe; 38.539.201 ; 39.857.145 ; 38.428.366 ; 38.553.146 ; 38.597.353 ; 38.504.431 ; 312.679 ; 1.274.698 ; 10.404 ; 34.770 ;0%; 5
85;Cuba;Havana;North America; 10.979.783 ; 11.212.191 ; 11.300.698 ; 11.339.894 ; 11.290.417 ; 11.105.791 ; 109.884 ; 1.020.366 ; 9.961 ;-126.008 ;-1%; 14
9;Russia;Moscow;Europe; 144.820.423 ; 144.713.314 ; 145.617.329 ; 144.668.389 ; 143.242.599 ; 146.844.839 ; 17.098.242 ; 84.636 ; 9.973 ;-2.024.416 ;-1%; 181
11;Japan;Tokyo;Asia; 123.753.041 ; 123.951.692 ; 125.244.761 ; 127.250.933 ; 128.105.431 ; 126.803.861 ; 377.930 ; 3.279.753 ; 9.947 ;-3.050.820 ;-2%; 155
156;Estonia;Tallinn;Europe; 1.360.546 ; 1.326.062 ; 1.329.444 ; 1.314.657 ; 1.331.535 ; 1.396.877 ; 45.227 ; 293.201 ; 998 ;-36.331 ;-3%; 2
94;Hungary;Budapest;Europe; 9.676.135 ; 9.967.308 ; 9.750.573 ; 9.844.246 ; 9.986.825 ; 10.202.055 ; 93.028 ; 1.071.431 ; 10.265 ;-525.920 ;-5%; 12
140;Armenia;Yerevan;Asia; 2.973.840 ; 2.780.469 ; 2.805.608 ; 2.878.595 ; 2.946.293 ; 3.168.523 ; 29.743 ; 934.831 ; 9.962 ;-194.683 ;-6%; 3
90;Greece;Athens;Europe; 10.047.817 ; 10.384.971 ; 10.512.232 ; 10.806.641 ; 11.033.783 ; 11.038.109 ; 131.990 ; 7.868 ; 9.942 ;-990.292 ;-9%; 13
150;North Macedonia;Skopje;Europe; 1.823.009 ; 2.093.599 ; 2.111.072 ; 2.107.962 ; 2.093.828 ; 2.037.936 ; 25.713 ; 814.218 ; 9.954 ;-214.927 ;-11%; 3
131;Georgia;Tbilisi;Asia; 3.807.670 ; 3.744.385 ; 3.765.912 ; 3.771.132 ; 3.836.831 ; 4.265.172 ; 69.700 ; 537.214 ; 9.964 ;-457.502 ;-11%; 5
96;Belarus;Minsk;Europe; 9.056.696 ; 9.534.954 ; 9.633.740 ; 9.700.609 ; 9.731.427 ; 10.256.483 ; 207.600 ; 459.295 ; 9.955 ;-1.199.787 ;-12%; 12
138;Albania;Tirana;Europe; 2.791.765 ; 2.842.321 ; 2.866.849 ; 2.882.481 ; 2.913.399 ; 3.182.021 ; 28.748 ; 988.702 ; 9.957 ;-390.256 ;-12%; 4
64;Romania;Bucharest;Europe; 19.015.088 ; 19.659.267 ; 19.442.038 ; 19.906.079 ; 20.335.211 ; 21.919.876 ; 238.391 ; 824.665 ; 10.171 ;-2.904.788 ;-13%; 25
130;Croatia;Zagreb;Europe; 3.875.325 ; 4.030.358 ; 4.096.868 ; 4.254.815 ; 4.368.682 ; 4.548.434 ; 56.594 ; 712.153 ; 9.927 ;-673.109 ;-15%; 5
105;Serbia;Belgrade;Europe; 6.736.216 ; 7.221.365 ; 7.358.005 ; 7.519.496 ; 7.653.748 ; 7.935.022 ; 88.361 ; 817.257 ; 9.897 ;-1.198.806 ;-15%; 9
136;Puerto Rico;San Juan;North America; 3.242.204 ; 3.252.407 ; 3.271.564 ; 3.497.335 ; 3.717.922 ; 3.827.108 ; 8.870 ; 366.675 ; 9.989 ;-584.904 ;-15%; 4
108;Bulgaria;Sofia;Europe; 6.757.689 ; 6.781.953 ; 6.979.175 ; 7.309.253 ; 7.592.273 ; 8.097.691 ; 110.879 ; 611.654 ; 9.849 ;-1.340.002 ;-17%; 9
141;Lithuania;Vilnius;Europe; 2.859.110 ; 2.750.055 ; 2.820.267 ; 2.963.765 ; 3.139.019 ; 3.599.637 ; 65.300 ; 421.142 ; 9.869 ;-740.527 ;-21%; 3
151;Latvia;Riga;Europe; 1.871.871 ; 1.850.651 ; 1.897.052 ; 1.991.955 ; 2.101.530 ; 2.392.530 ; 64.559 ; 28.666 ; 9.876 ;-520.659 ;-22%; 2
38;Ukraine;Kiev;Europe; 37.860.221 ; 39.701.739 ; 43.909.666 ; 44.982.564 ; 45.683.020 ; 48.879.755 ; 603.500 ; 657.858 ; 912 ;-11.019.534 ;-23%; 5
137;Bosnia and Herzegovina;Sarajevo;Europe; 3.164.253 ; 3.233.526 ; 3.318.407 ; 3.524.324 ; 3.811.088 ; 4.179.350 ; 51.209 ; 631.437 ; 9.886 ;-1.015.097 ;-24%; 4
135;Moldova;Chisinau;Europe; 3.034.961 ; 3.272.996 ; 3.084.847 ; 3.277.388 ; 3.678.186 ; 4.251.573 ; 33.846 ; 967.026 ; 10.691 ;-1.216.612 ;-29%; 4
194;Micronesia;Palikir;Oceania; 527 ; 114.164 ; 112.106 ; 109.462 ; 107.588 ; 111.709 ; 702 ; 1.626.268 ; 10.091 ;-111.182 ;-100%; -
172;Western Sahara;El Aaiún;Africa; 591 ; 575.986 ; 556.048 ; 491.824 ; 413.296 ; 270.375 ; 266.000 ; 21.654 ; 10.184 ;-269.784 ;-100%; 1
182;Mayotte;Mamoudzou;Africa; 327 ; 326.101 ; 305.587 ; 249.545 ; 211.786 ; 159.215 ; 374 ; 8.719.278 ; 10.319 ;-158.888 ;-100%; -
221;British Virgin Islands;Road Town;North America; 39 ; 31.305 ; 30.910 ; 29.366 ; 27.556 ; 20.104 ; 151 ; 2.073.179 ; 10.059 ;-20.065 ;-100%; -
166;Solomon Islands;Honiara;Oceania; 819 ; 724.273 ; 691.191 ; 612.660 ; 540.394 ; 429.978 ; 28.896 ; 250.648 ; 10.232 ;-429.159 ;-100%; 1
184;French Guiana;Cayenne;South America; 309 ; 304.557 ; 290.969 ; 257.026 ; 228.453 ; 164.351 ; 83.534 ; 36.459 ; 10.239 ;-164.042 ;-100%; -
174;Maldives;Malé;Asia; 528 ; 523.787 ; 514.438 ; 435.582 ; 361.575 ; 282.507 ; 300 ; 17.459.567 ; 10.045 ;-281.979 ;-100%; 1
205;Cayman Islands;George Town;North America; 74 ; 68.706 ; 67.311 ; 60.911 ; 54.074 ; 39.658 ; 264 ; 26.025 ; 10.084 ;-39.584 ;-100%; -
233;Tokelau;Nukunonu;Oceania; 3 ; 1.871 ; 1.827 ; 1.454 ; 1.367 ; 1.666 ; 12 ; 1.559.167 ; 10.119 ;-1.663 ;-100%; -
177;Belize;Belmopan;North America; 417 ; 405.272 ; 394.921 ; 359.871 ; 322.106 ; 240.406 ; 22.966 ; 176.466 ; 10.131 ;-239.989 ;-100%; 1
181;Vanuatu;Port-Vila;Oceania; 328 ; 326.740 ; 311.685 ; 276.438 ; 245.453 ; 192.074 ; 12.189 ; 268.061 ; 10.238 ;-191.746 ;-100%; -
196;Seychelles;Victoria;Africa; 130 ; 107.118 ; 105.530 ; 99.240 ; 92.409 ; 80.060 ; 452 ; 2.369.867 ; 10.061 ;-79.930 ;-100%; -
163;Comoros;Moroni;Africa; 867 ; 836.774 ; 806.166 ; 730.216 ; 656.024 ; 536.758 ; 1.862 ; 4.493.953 ; 10.184 ;-535.891 ;-100%; 1
228;Saint Barthelemy;Gustavia;North America; 11 ; 10.967 ; 10.681 ; 9.643 ; 8.988 ; 7.082 ; 21 ; 5.222.381 ; 10.098 ;-7.071 ;-100%; -
168;Luxembourg;Luxembourg;Europe; 673 ; 647.599 ; 630.399 ; 569.408 ; 507.070 ; 435.628 ; 2.586 ; 250.425 ; 10.129 ;-434.955 ;-100%; 1
192;Kiribati;Tarawa;Oceania; 135 ; 131.232 ; 126.463 ; 116.707 ; 107.995 ; 88.826 ; 811 ; 161.815 ; 10.183 ;-88.691 ;-100%; -
214;Sint Maarten;Philipsburg;North America; 43 ; 44.175 ; 43.621 ; 40.205 ; 33.034 ; 30.489 ; 34 ; 12.992.647 ; 1.003 ;-30.446 ;-100%; -
219;Gibraltar;Gibraltar;Europe; 39 ; 32.649 ; 32.709 ; 32.520 ; 31.262 ; 27.741 ; 6 ; 54.415 ; 9.994 ;-27.702 ;-100%; -
179;Iceland;Reykjavík;Europe; 393 ; 372.899 ; 366.669 ; 331.060 ; 318.333 ; 281.462 ; 103.000 ; 36.204 ; 10.069 ;-281.069 ;-100%; -
175;Brunei;Bandar Seri Begawan;Asia; 463 ; 449.002 ; 441.725 ; 421.437 ; 396.053 ; 333.926 ; 5.765 ; 778.841 ; 10.081 ;-333.463 ;-100%; 1
224;Anguilla;The Valley;North America; 15 ; 15.857 ; 15.585 ; 14.525 ; 13.172 ; 11.047 ; 91 ; 1.742.527 ; 10.066 ;-11.032 ;-100%; -
173;Malta;Valletta;Europe; 540 ; 533.286 ; 515.357 ; 456.579 ; 418.755 ; 399.212 ; 316 ; 16.876.139 ; 10.124 ;-398.672 ;-100%; 1
165;Bhutan;Thimphu;Asia; 792 ; 782.455 ; 772.506 ; 743.274 ; 705.516 ; 587.207 ; 38.394 ; 203.796 ; 10.064 ;-586.415 ;-100%; 1
170;Suriname;Paramaribo;South America; 634 ; 618.040 ; 607.065 ; 575.475 ; 546.080 ; 478.998 ; 163.820 ; 37.727 ; 10.082 ;-478.364 ;-100%; 1
185;New Caledonia;Nouméa;Oceania; 293 ; 289.950 ; 286.403 ; 283.032 ; 261.426 ; 221.537 ; 18.575 ; 156.097 ; 10.075 ;-221.244 ;-100%; -
218;San Marino;San Marino;Europe; 34 ; 33.660 ; 34.007 ; 33.570 ; 31.608 ; 26.823 ; 61 ; 5.518.033 ; 9.975 ;-26.789 ;-100%; -
201;Antigua and Barbuda;Saint John’s;North America; 94 ; 93.763 ; 92.664 ; 89.941 ; 85.695 ; 75.055 ; 442 ; 2.121.335 ; 10.058 ;-74.961 ;-100%; -
203;Andorra;Andorra la Vella;Europe; 82 ; 79.824 ; 77.700 ; 71.746 ; 71.519 ; 66.097 ; 468 ; 1.705.641 ; 101 ;-66.015 ;-100%; -
176;Bahamas;Nassau;North America; 401 ; 409.984 ; 406.471 ; 392.697 ; 373.272 ; 325.014 ; 13.943 ; 294.043 ; 10.051 ;-324.613 ;-100%; 1
198;Aruba;Oranjestad;North America; 108 ; 106.445 ; 106.585 ; 104.257 ; 100.341 ; 89.101 ; 180 ; 5.913.611 ; 9.991 ;-88.993 ;-100%; -
216;Liechtenstein;Vaduz;Europe; 40 ; 39.327 ; 38.756 ; 37.355 ; 35.926 ; 33.026 ; 160 ; 2.457.937 ; 10.074 ;-32.986 ;-100%; -
217;Monaco;Monaco;Europe; 39 ; 36.469 ; 36.922 ; 36.760 ; 33.178 ; 32.465 ; 2 ; 182.345 ; 9.941 ;-32.426 ;-100%; -
188;Samoa;Apia;Oceania; 218 ; 222.382 ; 214.929 ; 203.571 ; 194.672 ; 184.008 ; 2.842 ; 782.484 ; 10.165 ;-183.790 ;-100%; -
225;Nauru;Yaren;Oceania; 12 ; 12.668 ; 12.315 ; 11.185 ; 10.241 ; 10.377 ; 21 ; 6.032.381 ; 10.125 ;-10.365 ;-100%; -
190;Saint Lucia;Castries;North America; 180 ; 179.857 ; 179.237 ; 175.623 ; 170.935 ; 159.500 ; 616 ; 2.919.756 ; 10.011 ;-159.320 ;-100%; -
183;French Polynesia;Papeete;Oceania; 282 ; 306.279 ; 301.920 ; 291.787 ; 283.788 ; 250.927 ; 4.167 ; 735.011 ; 10.074 ;-250.645 ;-100%; -
162;Fiji;Suva;Oceania; 929 ; 929.766 ; 920.422 ; 917.200 ; 905.169 ; 832.509 ; 18.272 ; 508.847 ; 10.056 ;-831.580 ;-100%; 1
202;Isle of Man;Douglas;Europe; 84 ; 84.519 ; 84.046 ; 83.593 ; 83.828 ; 75.562 ; 572 ; 1.477.605 ; 1.003 ;-75.478 ;-100%; -
164;Guyana;Georgetown;South America; 831 ; 808.726 ; 797.202 ; 755.031 ; 747.932 ; 759.051 ; 214.969 ; 37.621 ; 10.052 ;-758.220 ;-100%; 1
193;Grenada;Saint George's;North America; 117 ; 125.438 ; 123.663 ; 118.980 ; 114.039 ; 107.432 ; 344 ; 3.646.453 ; 10.066 ;-107.315 ;-100%; -
